ind,gu,width,length,lat,lon
120,己合备,360,1240,37.599148,127.018234
121,己合备,360,1250,37.598966,127.01883500000001
122,己合备,360,1250,37.598966,127.01883500000001
123,己合备,360,1000,37.598521000000005,127.02036299999999
124,己合备,360,740,37.598259000000006,127.020729
125,己合备,360,700,37.597533,127.021996
126,己合备,360,1100,37.597077,127.022526
127,己合备,360,1100,37.597077,127.022526
128,己合备,360,1200,37.594874,127.02378999999999
129,己合备,360,1200,37.594169,127.02496000000001
130,己合备,360,630,37.593125,127.02721100000001
131,己合备,360,610,37.591363,127.02989
132,己合备,360,670,37.591189,127.03023
133,己合备,360,680,37.59125,127.03078500000001
134,己合备,360,630,37.591268,127.03094899999999
135,己合备,360,600,37.591233,127.0341739
136,辆肺备,360,600,37.591125,126.983943
137,辆肺备,360,600,37.589517,126.98252099999999
138,辆肺备,360,870,37.585747,126.982148
139,辆肺备,360,570,37.582842,126.98185500000001
140,畴盔备,360,670,37.665038,127.076002
141,畴盔备,360,680,37.668005,127.07691399999999
142,畴盔备,360,670,37.668646,127.07740600000001
143,畴盔备,360,660,37.668005,127.07691399999999
144,畴盔备,360,600,37.669191,127.077845
145,畴盔备,360,380,37.667848,127.07724499999999
146,己合备,360,800,37.594479,126.995034
147,己合备,360,800,37.594332,126.9952986
148,己合备,360,750,37.59400181,126.99545800000001
149,己合备,360,780,37.594362,126.992473
150,己合备,360,830,37.59545393,126.990388
151,己合备,360,700,37.59545393,126.98983899999999
152,己合备,360,600,37.596211,126.98944399999999
153,己合备,360,600,37.596313,126.989092
154,己合备,360,600,37.59318017,126.997101
155,档豪备,360,1170,37.650954999999996,127.02861100000001
156,档豪备,360,940,37.65091963,127.02830300000001
157,档豪备,360,950,37.658636,127.027798
158,档豪备,360,1080,37.659174,127.027771
159,档豪备,360,970,37.662803000000004,127.027578
160,档豪备,360,750,37.663982,127.02851299999999
161,档豪备,360,750,37.664145,127.02878899999999
162,档豪备,360,740,37.664658,127.02948799999999
163,档豪备,360,750,37.665092,127.030125
164,档豪备,360,860,37.655326,127.027952
165,己合备,360,640,37.597679,127.039376
166,己合备,360,900,37.598223,127.039635
167,己合备,360,800,37.59881357,127.03976899999999
168,碍合备,360,480,37.62048662,127.012045
169,辆肺备,360,650,37.575365999999995,126.966275
170,辆肺备,360,650,37.575468,126.9658669
171,辆肺备,360,700,37.57545085,126.96566899999999
172,辆肺备,360,700,37.576039,126.965511
173,辆肺备,360,650,37.576138,126.965451
174,辆肺备,360,650,37.576298,126.965352
175,辆肺备,360,650,37.576427,126.965249
176,辆肺备,360,670,37.577152000000005,126.964133
177,辆肺备,360,620,37.577931,126.963605
178,辆肺备,360,680,37.586134,126.963953
179,辆肺备,360,800,37.58882261,126.96493500000001
180,辆肺备,360,800,37.58882261,126.96593500000002
181,辆肺备,360,700,37.592262,126.966103
182,辆肺备,360,1420,37.575323,127.01571100000001
183,辆肺备,360,1360,37.576904,127.01562690000002
184,辆肺备,360,1550,37.577674,127.01534099999999
185,己合备,360,1290,37.607043,127.067314
186,己合备,360,1120,37.607473,127.06726299999998
187,己合备,360,470,37.609911,127.067177
188,己合备,360,400,37.611162,127.06701399999999
189,畴盔备,360,1150,37.664349,127.05683799999998
190,畴盔备,360,1150,37.66579414,127.05623200000001
191,畴盔备,360,1150,37.664315,127.05606100000001
192,畴盔备,360,1160,37.664324,127.055594
193,畴盔备,360,1160,37.664343,127.05512399999999
194,畴盔备,360,1160,37.664365000000004,127.054674
195,畴盔备,360,1140,37.664373,127.053071
196,辆肺备,360,650,37.577304999999996,126.963952
197,辆肺备,360,650,37.577999,126.963627
198,己悼备,360,400,37.548066999999996,127.045177
199,己悼备,360,400,37.548303999999995,127.044959
200,己悼备,360,1300,37.555626000000004,127.02271299999998
201,堡柳备,360,700,37.549463,127.070797
202,堡柳备,360,700,37.550007,127.070924
203,堡柳备,360,700,37.550646,127.071055
204,堡柳备,360,700,37.551209,127.071124
205,堡柳备,360,700,37.538008000000005,127.069616
206,堡柳备,360,700,37.537651000000004,127.06945400000001
207,堡柳备,360,700,37.536814,127.069076
208,堡柳备,360,700,37.536485,127.068933
209,堡柳备,360,1225,37.531878999999996,127.06678600000001
210,堡柳备,360,700,37.533966,127.067972
211,堡柳备,360,1225,37.531953,127.06701699999999
212,堡柳备,360,700,37.536535,127.069152
213,堡柳备,360,700,37.537346,127.06953500000002
214,堡柳备,360,1400,37.533705,127.07385500000001
215,堡柳备,360,700,37.541519,127.0962024
216,吝尔备,360,300,37.602565000000006,127.09594299999999
217,吝尔备,360,300,37.602163,127.09607199999999
218,吝尔备,360,300,37.601797,127.096461
219,吝尔备,360,300,37.602185999999996,127.096299
220,吝尔备,360,300,37.604804,127.100676
221,吝尔备,360,300,37.603817,127.100618
222,康殿器备,360,600,37.532747,126.90101899999999
223,康殿器备,360,600,37.531244,126.89976899999999
224,康殿器备,360,600,37.531374,126.899971
225,康殿器备,360,600,37.529036,126.89813500000001
226,康殿器备,360,600,37.529482,126.898389
227,康殿器备,360,340,37.521615000000004,126.93591699999999
228,康殿器备,360,340,37.522011,126.93656100000001
229,康殿器备,360,360,37.522304999999996,126.93710800000001
230,康殿器备,360,360,37.522624,126.937607
231,康殿器备,360,370,37.522739,126.937382
232,康殿器备,360,370,37.522488,126.936947
233,康殿器备,360,370,37.521905,126.935965
234,康殿器备,360,360,37.522608,126.93710700000001
235,康殿器备,360,1000,37.522489,126.936973
236,康殿器备,360,1210,37.532446,126.91979099999999
237,康殿器备,360,1210,37.533187,126.917272
238,康殿器备,360,1210,37.533255,126.916937
239,康殿器备,360,1210,37.533322999999996,126.916315
240,康殿器备,360,1210,37.533383,126.915821
241,康殿器备,360,1210,37.533629,126.91323600000001
242,康殿器备,360,1210,37.533390999999995,126.91586399999998
243,康殿器备,360,1210,37.531689,126.93028390000002
244,康殿器备,360,1210,37.529536,126.93028390000002
245,康殿器备,360,450,37.533716,126.9125029
246,康殿器备,360,450,37.533857,126.91433799999999
247,康殿器备,360,1100,37.532585,126.911323
248,康殿器备,360,1400,37.533715,126.91565700000001
249,康殿器备,360,700,37.52865677,126.913124
250,康殿器备,360,900,37.518257,126.923571
251,康殿器备,360,900,37.517398,126.925826
252,剧玫备,360,950,37.540381,126.87548500000001
253,剧玫备,360,650,37.543242,126.88173300000001
254,剧玫备,360,1350,37.543515,126.881956
255,剧玫备,360,610,37.543677,126.882071
256,剧玫备,360,650,37.542873,126.88139199999999
257,剧玫备,360,2000,37.515541999999996,126.834579
258,剧玫备,360,1000,37.515473,126.83426100000001
259,剧玫备,360,1000,37.515341,126.833817
260,剧玫备,360,700,37.5237,126.849405
261,剧玫备,360,700,37.523328,126.84778500000002
262,剧玫备,360,700,37.522027,126.842161
263,剧玫备,360,700,37.5222398,126.84081200000001
264,剧玫备,360,700,37.523233000000005,126.8474791
265,剧玫备,360,700,37.52335762,126.84861670000001
266,陛玫备,360,600,37.450047,126.913253
267,康殿器备,360,700,37.489439000000004,126.896685
268,康殿器备,360,600,37.504871,126.914396
269,康殿器备,360,600,37.504917,126.91414099999999
270,包厩备,360,600,37.477315000000004,126.91263700000002
271,包厩备,360,600,37.477138000000004,126.911025
272,包厩备,360,300,37.478383,126.931552
273,悼措巩备,360,360,37.572514,127.034902
274,悼措巩备,360,350,37.572348,127.034958
275,悼措巩备,360,350,37.572228,127.034995
276,康殿器备,360,750,37.543875,126.89246000000001
277,康殿器备,360,750,37.544416,126.891907
278,康殿器备,360,380,37.546191,136.889471
279,付器备,360,540,37.544544,126.92351599999999
280,己悼备,360,700,37.539878,127.038821
281,吝尔备,360,370,37.592457,127.071401
282,畴盔备,360,450,37.641673,127.05623500000002
283,畴盔备,360,380,37.641977000000004,127.056207
284,畴盔备,360,310,37.677509,127.051449
285,备府矫,360,730,37.574364,127.1282
286,备府矫,360,360,37.574465000000004,127.12727199999999
287,备府矫,360,400,37.574512,127.12721599999999
288,备府矫,360,730,37.574591999999996,127.12612
289,畴盔备,360,310,37.632551,127.06230900000001
290,悼措巩备,360,370,37.572995,127.03466499999999
291,畴盔备,360,310,37.632967,127.06186299999999
292,碍悼备,360,600,37.545071,127.11216100000001
293,碍悼备,360,600,37.544901,127.112622
294,碍悼备,360,600,37.544382,127.11431699999999
295,碍悼备,360,600,37.544185999999996,127.115068
296,碍悼备,360,600,37.542701,127.119735
297,价颇备,360,300,37.520944,127.094151
298,康殿器备,360,400,37.543197,126.92584740000001
299,付器备,360,600,37.573495,126.864222
300,吝尔备,360,350,37.617183000000004,127.093274
301,吝尔备,360,350,37.615926,127.100603
302,吝尔备,360,350,37.615783,127.10118899999999
303,吝尔备,360,350,37.615707,127.101386
304,吝尔备,360,350,37.61594294,127.101607
305,吝尔备,360,360,37.615327,127.10171100000001
306,辑檬备,360,340,37.509701,127.015514
307,辑檬备,360,440,37.509701,127.015514
308,辑檬备,360,440,37.501647999999996,127.01935700000001
309,付器备,360,620,37.538191999999995,126.942181
310,付器备,360,620,37.538329,126.941621
311,己悼备,360,330,37.558721000000006,127.072166
312,己悼备,360,320,37.559328,127.07283500000001
313,己悼备,360,540,37.559072,127.07245900000001
314,己悼备,360,300,37.558964,127.072221
315,己悼备,360,360,37.559178,127.07246200000002
316,吝尔备,360,320,37.579792,127.07873799999999
317,吝尔备,360,320,37.580175,127.078723
318,吝尔备,360,320,37.580566999999995,127.07866899999999
319,吝尔备,360,320,37.580791999999995,127.07863600000002
320,畴盔备,360,310,37.632893,127.063971
321,畴盔备,360,390,37.640088,127.05744299999999
322,畴盔备,360,380,37.645281,127.05703899999999
323,畴盔备,360,560,37.661278,127.05261200000001
324,畴盔备,360,400,37.677617,127.051497
325,畴盔备,360,390,37.592481,127.069282
326,畴盔备,360,430,37.580638,127.076101
327,康殿器备,360,450,37.545171999999994,126.886825
328,康殿器备,360,450,37.545189,126.886825
329,价颇备,360,730,37.481614,127.126602
